date,action,price,position,equity,reason
2020-05-01,BUY,260.6622314453,1,10000.0,MA_CROSS_UP
2024-05-31,BUY,516.2463378906,1,12472.534185747012,MA_CROSS_UP
2023-11-15,BUY,437.0595703125,1,11937.93975243647,MA_CROSS_UP
2023-06-01,BUY,407.0284729004,1,11411.147632370763,MA_CROSS_UP
2022-11-25,BUY,384.9780273438,1,11935.078916925408,MA_CROSS_UP
2024-10-23,BUY,569.3650512695,1,13174.986282399552,MA_CROSS_UP
2022-04-04,BUY,433.438293457,1,13093.672391838123,MA_CROSS_UP
2021-09-15,BUY,420.8270263672,1,13337.586596041865,MA_CROSS_UP
2021-03-18,BUY,365.4373168945,1,11960.209599915177,MA_CROSS_UP
2020-09-15,BUY,314.9321899414,1,11089.642423120296,MA_CROSS_UP
2025-10-23,BUY,669.7808837891,1,13482.345480983831,MA_CROSS_UP
2022-05-03,SELL,395.0855102539,0,11935.078916925408,MA_CROSS_DOWN
2022-12-23,SELL,368.0780944824,0,11411.147632370763,MA_CROSS_DOWN
2020-10-02,SELL,310.3089904785,0,10926.846651421434,MA_CROSS_DOWN
2021-10-04,SELL,404.0394287109,0,12805.524671660996,MA_CROSS_DOWN
2021-10-29,BUY,432.8926086426,1,12805.524671660996,MA_CROSS_UP
2020-10-21,BUY,318.5724182129,1,10926.846651421434,MA_CROSS_UP
