date,action,price,position,equity,reason
2023-01-05,BUY,364.6848449707,1,10000.0,MOM_ACCEL_ENTRY
2025-03-28,BUY,550.8626708984,1,10229.322310063966,MOM_ACCEL_ENTRY
2025-12-03,BUY,681.8751220703,1,11736.799917695831,MOM_ACCEL_ENTRY
2023-01-06,SELL,373.0478820801,0,10229.322310063966,MOM_ACCEL_EXIT
2025-03-31,SELL,554.5604858398,0,10297.989407830566,MOM_ACCEL_EXIT
2025-12-05,SELL,683.6697998047,0,11767.69087236425,MOM_ACCEL_EXIT
2025-04-01,BUY,556.1267700195,1,10297.989407830568,MOM_ACCEL_ENTRY
2025-12-08,BUY,681.6159057617,1,11767.69087236425,MOM_ACCEL_ENTRY
2025-12-09,SELL,681.0275878906,0,11757.533916249713,MOM_ACCEL_EXIT
2025-04-02,SELL,559.6461791992,0,10363.159510059419,MOM_ACCEL_EXIT
2025-04-03,BUY,532.06640625,1,10363.159510059419,MOM_ACCEL_ENTRY
2025-04-04,SELL,500.9176330566,0,9756.468876420364,MOM_ACCEL_EXIT
2025-04-08,BUY,492.1936340332,1,9756.468876420364,MOM_ACCEL_ENTRY
2025-04-09,SELL,543.8834838867,0,10781.086783787481,MOM_ACCEL_EXIT
2025-04-10,BUY,520.0510864258,1,10781.086783787481,MOM_ACCEL_ENTRY
2025-04-11,SELL,529.3302001953,0,10973.450444660037,MOM_ACCEL_EXIT
2025-04-14,BUY,534.4654541016,1,10973.450444660037,MOM_ACCEL_ENTRY
2025-04-15,SELL,532.9684448242,0,10942.714394285445,MOM_ACCEL_EXIT
2025-04-21,BUY,509.443359375,1,10942.714394285445,MOM_ACCEL_ENTRY
2025-04-22,SELL,522.6979980469,0,11227.420677559005,MOM_ACCEL_EXIT
2025-04-23,BUY,530.7973632812,1,11227.420677559005,MOM_ACCEL_ENTRY
2025-04-24,SELL,541.9701538086,0,11463.747434379971,MOM_ACCEL_EXIT
2025-04-25,BUY,545.8859863281,1,11463.747434379971,MOM_ACCEL_ENTRY
2025-04-28,SELL,546.0941772461,0,11468.119497707952,MOM_ACCEL_EXIT
2025-04-30,BUY,549.7523803711,1,11468.119497707952,MOM_ACCEL_ENTRY
2025-05-01,SELL,553.6483764648,0,11549.391994854748,MOM_ACCEL_EXIT
2025-05-02,BUY,561.8668212891,1,11549.391994854748,MOM_ACCEL_ENTRY
2025-05-06,SELL,553.9755249023,0,11387.183315029819,MOM_ACCEL_EXIT
2025-05-08,BUY,560.1815185547,1,11387.183315029819,MOM_ACCEL_ENTRY
2025-05-12,SELL,577.9567260742,0,11748.511812638006,MOM_ACCEL_EXIT
2025-05-13,BUY,581.7734985352,1,11748.511812638006,MOM_ACCEL_ENTRY
2025-05-14,SELL,582.5170288086,0,11763.526890193254,MOM_ACCEL_EXIT
2025-05-16,BUY,589.0699462891,1,11763.526890193254,MOM_ACCEL_ENTRY
2025-05-20,SELL,587.7315673828,0,11736.799917695831,MOM_ACCEL_EXIT
