train_start,train_end,test_start,test_end,chosen_short,chosen_long,significant,significance,t_stat,p_value,train_total_return,train_cagr,train_annualized_vol,train_sharpe,train_sortino,train_max_drawdown,train_calmar,train_hit_rate,test_total_return,test_cagr,test_annualized_vol,test_sharpe,test_sortino,test_max_drawdown,test_calmar,test_hit_rate
2015-01-02T00:00:00,2020-01-02T00:00:00,2020-01-03T00:00:00,2020-07-02T00:00:00,20,125,False,NOT_SIGNIFICANT,1.895784143972676,0.057988593383733966,0.19269885962687305,0.03587715749488618,0.04266046122370797,0.8488315592923128,1.3055835194412269,-0.06130895230619682,0.5851862761526898,0.05564387917329094,0.0,0.0,0.0,,,0.0,,0.0
2015-07-02T00:00:00,2020-07-02T00:00:00,2020-07-06T00:00:00,2021-01-06T00:00:00,30,150,False,NOT_SIGNIFICANT,2.4909049756255075,0.012741819280090242,0.268385129351042,0.04867701989967399,0.04353555839434495,1.1148517245454252,1.9110293429139698,-0.04071263916399015,1.1956242803028168,0.05003971405877681,0.0,0.0,0.0,,,0.0,,0.0
2016-01-04T00:00:00,2021-01-04T00:00:00,2021-01-05T00:00:00,2021-07-02T00:00:00,30,150,True,SIGNIFICANT,3.0494519445749035,0.002292593075524724,0.32783001030807735,0.058323368533226505,0.04223905891461826,1.3648400049761065,2.4347171476080676,-0.04071263916399026,1.4325617236038257,0.054011119936457505,0.0,0.0,0.0,,,0.0,,0.0
2016-07-05T00:00:00,2021-07-02T00:00:00,2021-07-06T00:00:00,2022-01-06T00:00:00,30,150,True,SIGNIFICANT,3.0494599404589264,0.0022925320495208795,0.32783001030807735,0.05845501038377954,0.04225571961087934,1.3653863729627815,2.435684648996387,-0.04071263916399026,1.4357951629793173,0.05405405405405406,0.0,0.0,0.0,,,0.0,,0.0
2017-01-05T00:00:00,2022-01-05T00:00:00,2022-01-06T00:00:00,2022-07-06T00:00:00,30,150,True,SIGNIFICANT,3.0494519445749386,0.0022925930755244555,0.32783001030807735,0.05835622339278057,0.04223905891461826,1.3648400049761065,2.4347171476080676,-0.04071263916399026,1.4333687177026786,0.054011119936457505,0.0,0.0,0.0,,,0.0,,0.0
2017-07-05T00:00:00,2022-07-05T00:00:00,2022-07-06T00:00:00,2023-01-06T00:00:00,10,125,False,NOT_SIGNIFICANT,1.9904287351022885,0.04654372712573689,0.41956825555672594,0.07259414563948052,0.08254075806860338,0.8912083858537906,1.5572417618722174,-0.0894843627296702,0.8112495124850522,0.06915739268680444,0.02293223100639663,0.04603582282523111,0.032050770114123765,1.4086347889016289,,0.0,,0.0078125
2018-01-05T00:00:00,2023-01-05T00:00:00,2023-01-06T00:00:00,2023-07-06T00:00:00,10,125,False,NOT_SIGNIFICANT,1.9505647820093683,0.051108840065979884,0.47833726624560846,0.0813327430587798,0.09477247008245122,0.8733594226313662,1.490132809227639,-0.10507006376474304,0.7740810288350805,0.09062003179650238,0.0,0.0,0.0,,,0.0,,0.0
2018-07-05T00:00:00,2023-07-05T00:00:00,2023-07-06T00:00:00,2024-01-05T00:00:00,10,125,False,NOT_SIGNIFICANT,2.2846986687491877,0.022330502749033494,0.5896919714078175,0.09715530806480621,0.0952107050311098,1.0233740007203393,1.7911293151723824,-0.10507006376474282,0.9246716389393449,0.09148766905330151,0.0,0.0,0.0,,,0.0,,0.0
2019-01-07T00:00:00,2024-01-05T00:00:00,2024-01-08T00:00:00,2024-07-08T00:00:00,10,125,False,NOT_SIGNIFICANT,1.9645037576561983,0.04947170093836511,0.4780836263929249,0.081388303236134,0.0939725400191706,0.8796005563969654,1.5366929198546906,-0.10507006376474282,0.774609820532388,0.075516693163752,0.0,0.0,0.0,,,0.0,,0.0
2019-07-08T00:00:00,2024-07-08T00:00:00,2024-07-09T00:00:00,2025-01-08T00:00:00,10,125,False,NOT_SIGNIFICANT,1.9645037576562057,0.049471700938364255,0.4780836263929249,0.0812493729744117,0.0939725400191706,0.8796005563969654,1.5366929198546908,-0.10507006376474282,0.7732875574943321,0.075516693163752,0.0,0.0,0.0,,,0.0,,0.0
2020-01-08T00:00:00,2025-01-08T00:00:00,2025-01-10T00:00:00,2025-07-10T00:00:00,10,50,False,NOT_SIGNIFICANT,1.7799081362234555,0.07509099594329983,0.3684190044319995,0.06471319315302093,0.08314254281782671,0.7969484307963631,1.3915257185509287,-0.09354305508498562,0.691801150755957,0.075516693163752,0.14736827738321967,0.3197075121506041,0.1870419930297342,1.5968649529541918,3.501840033027882,-0.058543017990811186,5.461069878576893,0.0975609756097561
2020-07-08T00:00:00,2025-07-08T00:00:00,2025-07-09T00:00:00,2026-01-09T00:00:00,10,50,False,NOT_SIGNIFICANT,1.7685140154588392,0.07697501123901004,0.37249277251033863,0.0653830391768091,0.08463773023800944,0.7927933673139824,1.4475536300079692,-0.0935430550849855,0.6989619819173905,0.07091633466135458,0.0017665802177151413,0.0035098089056204707,0.0030942157161615307,1.124580015639265,2.873249494902487,-0.0008631222747692568,4.066409833483636,0.015625
2021-01-08T00:00:00,2026-01-08T00:00:00,2026-01-09T00:00:00,2026-02-13T00:00:00,10,50,False,NOT_SIGNIFICANT,1.7012569982862478,0.0888947389641989,0.3537307636301661,0.06245381752853785,0.08432434094004385,0.7626432431681338,1.3891807137758956,-0.09354305508498573,0.6676478277494499,0.07171314741035857,0.0,0.0,0.0,,,0.0,,0.0
